template_version,baseline,metric,value,description
C,gmm_bic_best_label,adjusted_rand_index,0.16550217717638355,"Agreement between baseline cluster labels and narrative_best_label (1 = perfect match, 0 ≈ random)."
C,gmm_aic_best_label,adjusted_rand_index,0.22228980479145957,"Agreement between baseline cluster labels and narrative_best_label (1 = perfect match, 0 ≈ random)."
C,narrative_best_label,silhouette_cosine,0.5169649124145508,"Cluster separation in narrative embedding space using cosine distance (higher is better, max = 1)."
C,narrative_best_label,calinski_harabasz,265.22027587890625,Calinski-Harabasz index in narrative embedding space (higher is better).
C,narrative_best_label,davies_bouldin,1.1534050369380913,Davies-Bouldin index in narrative embedding space (lower is better).
C,gmm_bic_best_label,silhouette_cosine,-0.05725311487913132,"Cluster separation in narrative embedding space using cosine distance (higher is better, max = 1)."
C,gmm_bic_best_label,calinski_harabasz,92.25272369384766,Calinski-Harabasz index in narrative embedding space (higher is better).
C,gmm_bic_best_label,davies_bouldin,3.6462526636944648,Davies-Bouldin index in narrative embedding space (lower is better).
C,gmm_aic_best_label,silhouette_cosine,-0.06773021072149277,"Cluster separation in narrative embedding space using cosine distance (higher is better, max = 1)."
C,gmm_aic_best_label,calinski_harabasz,71.62284088134766,Calinski-Harabasz index in narrative embedding space (higher is better).
C,gmm_aic_best_label,davies_bouldin,3.58001646039731,Davies-Bouldin index in narrative embedding space (lower is better).
